ISBN,Title,Author,Publisher,Pages,Date Published,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,volume,issue
553573993,A Grave Talent,"King, Laurie R.",Crimeline,368,7/1/1995,Paperback,"This Gripping Debut Of The Kate Martinelli Mystery Series Won The Edgar Award For Best First Mystery, Generating Wide Critical Acclaim And Moving Laurie R. King Into The Upper Tier Of The Genre. As A Grave Talent Begins, The Unthinkable Has Happened In A Small Community Outside Of San Francisco. A String Of Shocking Murders Has Occurred, Each Victim An Innocent Child. For Detective Kate Martinelli, Just Promoted To Homicide And Paired With A Seasoned Cop Who's Less Than Thrilled To Be Handed A Green Partner, It's Going To Be A Difficult Case. Then The Detectives Receive What Appears To Be A Case-breaking Lead: It Seems That One Of The Residents Of This Odd, Close-knit Colony Is Vaun Adams, Arguably The Century's Greatest Painter Of Women, A Man, As It Turns Out, With A Sinister Secret. For Behind The Brushes And Canvases Also Stands A Notorious Felon Once Convicted Of Strangling A Little Girl. What Really Happened On That Day Of Savage Violence Eighteen Years Ago? To Bring A Murderer To Justice, Kate Must Delve Into The Artist's Dark Past--even If She Knows It Means Losing Everything She Holds Dear. Laurie R. King.",en,,"Height: 6.87 Inches, Length: 4.21 Inches, Weight: 0.39903669422 Pounds, Width: 0.99 Inches",7.99,https://images.isbndb.com/covers/39/92/9780553573992.jpg,Success,51,22,1
1562801562,"Baby, It's Cold","Maiman, Jaye",Naiad Pr,247,1996,Paperback,"As A Bitter Winter Grips New York City, Private Investigator Robin Miller Is Catapulted On A Bone-chilling Quest To Save A Friend's Child From A Horrifying Death. With A Vicious Kidnapper On The Loose And One Child Already Presumed Dead, Robin Has No Time To Waste. The Investigation Rushes Ahead At Breakneck Speed, Propelling Her On A Collision Course With A Cold-hearted Killer--and A Former Lover.--back Cover. Jaye Maiman.",en,Soft Cover,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",10.95,https://images.isbndb.com/covers/15/64/9781562801564.jpg,Success,51,22,1
1562801767,Phases of the Moon,Watts J.,Misc,192,1997,Paperback,Julia Watts.,en,First Edition,"Height: 8.5 Inches, Length: 0.25 Inches, Weight: 0.45 Pounds, Width: 5.5 Inches",11.95,https://images.isbndb.com/covers/17/62/9781562801762.jpg,Success,51,22,1
068483376X,Succulent Wild Woman,Sark,Atria,184,5/2/1997,Paperback,"Presents Illustrated Affirmations For Women, Discussing Love, Sexuality, Romance, Creativity, Money, Fat, And Fear. Being And Becoming A Succulent Wild Woman -- Blocks To Succulence -- Fears -- Healing -- Outrageous Adventures -- Sexuality -- Love And Romance -- Fat -- Creative Expression -- Money And Power -- Portraits Of Succulent Wild Women -- Building A Succulent Community. By Sark. A Fireside Book. Includes Bibliographical References.",en,Slight Moisture Damage,"Height: 9.25 inches, Length: 7.375 inches, Weight: 0.87303055752 Pounds, Width: 0.48 inches",0,https://images.isbndb.com/covers/37/67/9780684833767.jpg,Success,51,22,1
553354116,Conscious Loving: The Journey to Co-Commitment,"Hendricks, Gay, Hendricks, Kathlyn",Bantam,304,2/1/1992,Paperback,"Here is a powerful new program that can clear&nbsp;&nbsp;away the unconscious agreements patterns that&nbsp;&nbsp;undermine even your best intentions. Through their own&nbsp;&nbsp;marriage and through twenty years' experience&nbsp;&nbsp;counseling more than one thousand couples, therapists&nbsp;&nbsp;Gay and Kathlyn Hendricks have developed precise&nbsp;&nbsp;strategies to help you create a vital partnership&nbsp;&nbsp;and enhance the energy, creativity, and happiness of&nbsp;&nbsp;each individual. You will learn how to: Let go&nbsp;&nbsp;of power struggles and need for control; Balance&nbsp;&nbsp;needs for closeness and separateness; Increase&nbsp;&nbsp;intimacy by telling the ""microscopic truth"";&nbsp;&nbsp;Communicate in a positive way that stops&nbsp;&nbsp;arguments; Make agreements you can keep; Allow more&nbsp;&nbsp;pleasure into your life. Addressed to individuals as&nbsp;&nbsp;well as to couples, <i>Conscious Loving</i>&nbsp;&nbsp;will heal old hurts and deepen your capacity for&nbsp;&nbsp;enjoyment, security, and enduing love.

                        <p>From a husband and wife team of psychologists who live what they teach, here are powerful techniques for transforming painful relationships into satisfying ones. The Hendricks challenge couples to stop ""sleepwalking"" through life and work to achieve a passionate, productive and harmonious state of ""co-commitment.""
</p>",en,Reprint,"Height: 8.2 Inches, Length: 5.2 Inches, Weight: 0.59 Pounds, Width: 0.7 Inches",16,https://images.isbndb.com/covers/41/19/9780553354119.jpg,Success,51,22,1
803972741,Bisexuality: The Psychology and Politics of an Invisible Minority,,"SAGE Publications, Inc",360,8/15/1996,Paperback,,en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 1.3007273458 Pounds, Width: 0.81 Inches",80,https://images.isbndb.com/covers/27/42/9780803972742.jpg,Success,51,22,1
088974033X,In Her I Am,Chrystos,Press Gang Pub,88,1993,Paperback,"Lesbian erotic writing from tenderly seductive to outrageous, raw, stirring images, these are poems of astonishing intensity, vital and unforgettable. This is an amazing collection of erotic pleasures.",en,First Edition,"Height: 9 Inches, Length: 5.5 Inches, Weight: 0.35 Pounds, Width: 0.5 Inches",3,https://images.isbndb.com/covers/03/34/9780889740334.jpg,Success,51,22,1
879057025,Journal to the Soul: The Art of Sacred Journal Keeping,"Offner, Rose",Gibbs Smith,96,11/1/1996,Paperback,,en,,"Height: 10.25 Inches, Length: 8.75 Inches, Weight: 0.95019234922 Pounds, Width: 0.5 Inches",19.95,https://images.isbndb.com/covers/70/22/9780879057022.jpg,Success,51,22,1
684832054,ANGEL WINGS,"Conn, Nicole",Simon & Schuster,272,9/3/1997,Hardcover,,en,,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.95 Pounds, Width: 1 Inches",23,https://images.isbndb.com/covers/20/50/9780684832050.jpg,Success,51,22,1
1562801732,Dream Lover,"Denison, Lyn",Naiad Pr,207,1997,Paperback,,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.50044933474 Pounds, Width: 0.5 Inches",12.95,https://images.isbndb.com/covers/17/31/9781562801731.jpg,Success,51,22,1
0-7737-3041-9,In the wings: A novel,"Corbeil, Carole",Distributed in the U.S. by General Distribution Services,280,1997,Hardcover,,en,First Edition,Weight: 1.15 Pounds,0,https://images.isbndb.com/covers/04/10/9780773730410.jpg,Success,52,22,1
0-88784-601-7,These Festive Nights,"Blais, Marie-Claire",House of Anansi Press,304,9/10/1997,Paperback,"<p>Originally published in French under the title Soifs, critics around the world called this book a tour de force, comparing Blais with Virginia Woolf, Dante, Sophocles, and Shakespeare. This swirling, baroque fresco captures the mood of our apocalyptic age, rendering it in powerfully evocative prose.</p>",en,,"Height: 8.50392 Inches, Length: 5.5118 Inches, Weight: 1 Pounds, Width: 0.90551 Inches",19.95,https://images.isbndb.com/covers/60/14/9780887846014.jpg,Success,52,22,1
0-88784-604-1,1953: Chronicle of a Birth Foretold,"Daigle, France",House of Anansi Press,176,2/23/2005,Paperback,France Daigle ; Translated By Robert Majzels. Includes Bibliographical References.,en,,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",13.95,https://images.isbndb.com/covers/60/45/9780887846045.jpg,Success,52,22,1
0-679-30877-6,Larry's Party,"Shields, Carol",Random House Canada,,9/2/1997,Hardcover,,en,First Edition,Weight: 1.2375 Pounds,0,https://images.isbndb.com/covers/87/75/9780679308775.jpg,Success,52,22,1
0-88922-374-2,The Time Being,"Meigs, Mary",Talonbooks,160,1/1/1997,Paperback,Mary Meigs.,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.46737999544 Pounds, Width: 0.51181 Inches",13.95,https://images.isbndb.com/covers/37/45/9780889223745.jpg,Success,52,22,1
